furniture_id,name,icon,source,price,effect_sta,effect_value,maINTenance
furniture_1,想像朋友熊大海,🧸,initial,0,MOOD,5,10
furniture_2,想像朋友貓小土,🐈,initial,0,STRESS,-5,10
furniture_3,想像朋友狗中空,🐕,initial,0,currentEP,5,10
furniture_4,好有愛的地毯_金,💛,sellman,500,STR,1,50
furniture_5,好有愛的地毯_木,💚,sellman,500,STR,1,50
furniture_6,好有愛的地毯_水,💙,sellman,500,STR,1,50
furniture_7,好有愛的地毯_火,❤️,sellman,500,STR,1,50
furniture_8,好有愛的地毯_土,🤎,sellman,500,STR,1,50
furniture_9,不是拿來跪的盤,🧮,sellman,500,INT,1,50
furniture_10,沒有放棄的字典,📕,sellman,1000,INT,2,100
furniture_11,看到自己好可愛的圓圓,🔮,sellman,2000,INT,4,200
furniture_12,草棒的草,🎍,sellman,500,DEX,1,50
furniture_13,真樹好的樹,🎄,sellman,1000,DEX,2,100
furniture_14,竹夠好的竹,🎋,sellman,2000,DEX,4,200
furniture_15,缸缸好的缸,🛁,sellman,3000,MOOD,20,300
furniture_16,水噹噹的噹,🔔,sellman,3000,STRESS,-20,300
furniture_17,心情很好心電圖,💟,sellman,3000,STR,5,300
furniture_18,感覺要復活的石頭,🗿,sellman,3000,DEX,5,300
furniture_19,希望有神仙的壺,🏺,sellman,3000,INT,5,300
furniture_20,師父給的花枝招展,💐,SF,0,DEX,3,150
furniture_21,小師兄給的乾淨水晶,🧼,SS,0,STR,3,150
furniture_22,大俠給的精密玩具,🔐,DS,0,INT,3,150
furniture_23,師父不要的小椅子,🪑,SF,0,SF_favor,5,300
furniture_24,小師兄丟掉的洗衣籃,🧺,SS,0,SS_favor,5,300
furniture_25,大俠弄壞的大包包,🎒,DS,0,DS_favor,5,300
