commission_id,client,description,item_id,item_demand,commission_ep,reward
miss01,日出街零三號,「鋤頭敲到一箱黃金壞掉了，來一把奢華的好鋤頭！」,m04,10,10,800
miss02,日出街十三號,「喔家裡的菜刀因為剁尪……王八壞掉了，想要一把好菜刀。」,m03,5,5,240
miss03,日出街十三號,「最近喝酒喝太兇被罰跪洗衣板，可以幫我做一個平一點的。」,w02,5,5,180
miss04,日出街三十號,「屋頂被掀開了需要一些木頭！」,w03,10,0,300
miss05,日出街三三號,「想要做一個飾品給我的心肝，有沒有讚讚的金屬？」,m04,5,0,300
miss06,月落路零七號,「需要一位勞工幫忙搬東西！」,,,10,200
miss07,月落路十七號,「不小心打瞌睡害神像木頭燒掉了啊啊啊！江湖救急！」,w00,30,0,600
miss08,月落路七十號,「貓咪想要抓抓板！我家的主人要最好的！喵。」,w04,10,10,350
miss09,月落路七七號,「又到了要送親戚禮物的時候，可是我討厭他，隨便來個爛刀吧。」,m01,5,5,100
miss10,月落路七七號,「又到了要送夫人禮物的時候，我超愛她，來個漂亮的金屬吊飾吧。」,m03,10,30,870
miss11,銀河道零零號,「官府的展示板都壞了，該全面更新！」,w02,50,50,1800
miss12,銀河道零零號,「官兵的武器都壞了，該全面更新！」,m02,50,50,1800
miss13,銀河道零十號,「我想要玩賭石！」,m00,30,0,600
miss14,銀河道一一號,「我的狗狗需要一些木頭玩具！」,w01,10,10,350
miss15,銀河道一百號,「我錢太多了不知道怎麼花，我放在偉大的銀河道自己去找吧。」,,,30,1000
